#,Ideqp,Idloc,Upt,Gi,Bay,Phasa,Daya/Tegangan,Merek,Tipe,Serial Id,Tahun Buat,Tahun Operasi,Mtu,Status Peralatan,Criticality Gi,Justifikasi Prioritas,Status Usia,Rencana,Tgl Inspeksi,Status Hi,Priority,Nilai Hi
PMT,14318747647600001024,TRS-3614-476.476-B0005,UPT PROBOLINGGO,GI 150KV TANGGUL,PHT 150kV JEMBER #2,S,150.0,ABB,LTB 170 D1,8137236S,1994,1997-07-12,Konvensional,Operasi,EXTREME,"Tahanan Kontak FAIR, Opening Time FAIR",SANGAT TUA,,2026-03-13 00:00:00,POOR,POOR,30
PMT,14318747647600001024,TRS-3614-476.476-B0007,UPT PROBOLINGGO,GI 150KV TANGGUL,TRF#2 150/20kV,RST,150.0,ALSTOM,S1-170 F1,3 008 709/2B,2002,2003-01-01,Konvensional,Operasi,EXTREME,Opening Time FAIR,SANGAT TUA,,2026-03-13 00:00:00,FAIR,FAIR,26
PMT,14318747647600001024,TRS-3614-476.476-B0004,UPT PROBOLINGGO,GI 150KV TANGGUL,PHT 150kV JEMBER #1,T,150.0,ABB,LTB 170 D1,8137235T,1994,1997-07-12,Konvensional,Operasi,EXTREME,"Tahanan Kontak FAIR, Opening Time FAIR",SANGAT TUA,,2026-03-13 00:00:00,POOR,POOR,30
PMT,14318747647600001024,TRS-3614-476.476-B0005,UPT PROBOLINGGO,GI 150KV TANGGUL,PHT 150kV JEMBER #2,R,150.0,ABB,LTB 170 D1,8137236R,1994,1997-07-12,Konvensional,Operasi,EXTREME,Opening Time FAIR,SANGAT TUA,,2026-03-13 00:00:00,FAIR,FAIR,27
PMT,14318747647600001024,TRS-3614-476.476-B0004,UPT PROBOLINGGO,GI 150KV TANGGUL,PHT 150kV JEMBER #1,S,150.0,ABB,LTB 170 D1,8137235S,1994,1997-07-12,Konvensional,Operasi,EXTREME,Opening Time FAIR,SANGAT TUA,,2026-03-13 00:00:00,FAIR,FAIR,23
PMT,14318747647600001024,TRS-3614-476.476-B0005,UPT PROBOLINGGO,GI 150KV TANGGUL,PHT 150kV JEMBER #2,T,150.0,ABB,LTB 170 D1,8075363 T,1994,1997-07-12,Konvensional,Operasi,EXTREME,"Tahanan Kontak FAIR, Opening Time FAIR",SANGAT TUA,,2026-03-13 00:00:00,POOR,POOR,36
PMT,14318747747700000768,TRS-3614-477.477-B0004,UPT PROBOLINGGO,GI 150KV BONDOWOSO,PHT 150kV JEMBER #1,S,150.0,ASEA,HPL 170/2501,7429 276/S,1985,1987-01-01,Konvensional,Operasi,MODERAT,"Tahanan Kontak FAIR, Opening Time FAIR",SANGAT TUA,,2026-03-13 00:00:00,POOR,POOR,30
PMT,14318747747700000768,TRS-3614-477.477-B0006,UPT PROBOLINGGO,GI 150KV BONDOWOSO,PHT 150kV SITUBONDO #1,T,150.0,ASEA,HPL 170/2501,7429 275/S,1985,1987-01-01,Konvensional,Operasi,MODERAT,"Opening Time FAIR, Keserampakan Closing POOR",SANGAT TUA,,2026-03-13 00:00:00,POOR,POOR,53
PMT,14318736136099999744,TRS-3614-361.361-B0030,UPT PROBOLINGGO,GITET 500KV GRATI,7A1 DIAMETER#1 500kV,R,500.0,AREVA,GL317,NO DATA,2007,2011-07-01,Konvensional,Operasi,EXTREME,"Tahanan Kontak CRITICAL, Opening Time POOR, Closing Time POOR",TUA,Material onsite 30 September 2026,2026-03-13 00:00:00,CRITICAL,CRITICAL HIGH PRIORITY,173
PMT,14318736136099999744,TRS-3614-361.361-B0024,UPT PROBOLINGGO,GITET 500KV GRATI,7AB5 DIAMETER#5 500kV,S,500.0,GEC ALSTHOM,FX.22D,NO DATA,1994,1996-07-19,Konvensional,Operasi,EXTREME,Normal,SANGAT TUA,,2026-03-13 00:00:00,FAIR,FAIR,14
