Gi,Kritikal,Tier
GI 150KV ALTAPRIMA,,3
GI 150KV AMLAPURA,,5
GI 150KV ANTOSARI,,4
GI 150KV BABADAN,Ya,4
GI 150KV BABAT,Ya,3
GI 150KV BALONGBENDO,Ya,3
GI 150KV BAMBE,,4
GI 150KV BANARAN,Ya,3
GI 150KV BANGKALAN,Ya,7
GI 150KV BANYUWANGI,Ya,8
GI 150KV BATURITI,,3
GI 150KV BOJONEGORO,Ya,4
GI 150KV BONDOWOSO,Ya,4
GI 150KV BUDURAN,Ya,6
GI 150KV BULUKANDANG,Ya,6
GI 150KV BUMICOKRO,,6
GI 150KV BUNGAH,,6
GI 150KV CERME,Ya,4
GI 150KV GENDING,,4
GI 150KV GENTENG,,8
GI 150KV GIANYAR,,4
GI 150KV GILIMANUK,Ya,2
GI 150KV GILITIMUR,Ya,9
GI 150KV GONDANGWETAN,Ya,3
GI 150KV GRATI,Ya,2
GI 150KV GULUK-GULUK,,10
GI 150KV JATIGEDONG,,3
GI 150KV JAYAKERTAS,Ya,3
GI 150KV JEMBER,,7
GI 150KV JOMBANG,,4
GI 150KV KALISARI,,8
GI 150KV KAPAL,,3
GI 150KV KASIHJATIM,Ya,3
GI 150KV KEBONAGUNG,,8
GI 150KV KEDIRI,Ya,2
GI 150KV KENJERAN,,8
GI 150KV KEREK,Ya,4
GI 150KV KERTOSONO,Ya,4
GI 150KV KIS,Ya,6
GI 150KV KRAKSAAN,Ya,3
GI 150KV KUBU,,6
GI 150KV LAMONGAN,Ya,4
GI 150KV LAWANG,Ya,7
GI 150KV LUMAJANG,Ya,5
GI 150KV MANISREJO,Ya,6
GI 150KV MANYAR,,5
GI 150KV MLIWANG,,3
GI 150KV MOJOAGUNG,,4
GI 150KV NEGARA,,3
GI 150KV NEWNGANJUK,Ya,5
GI 150KV NEWPACITAN,,3
GI 150KV NEWPANDAAN,,7
GI 150KV NEWPONOROGO,,4
GI 150KV NEWPORONG,Ya,7
GI 150KV NEWTULUNGAGUNG,,3
GI 150KV NEWWLINGI,,4
GI 150KV NGAWI,,7
GI 150KV NGIMBANG,,2
GI 150KV NGORO,Ya,5
GI 150KV NUSADUA,,3
GI 150KV PACIRAN,,5
GI 150KV PADANG SAMBIAN,,3
GI 150KV PAITON,Ya,2
GI 150KV PAKIS,,6
GI 150KV PAMEKASAN,Ya,9
GI 150KV PAYANGAN,,4
GI 150KV PEMARON,,2
GI 150KV PEMECUTAN KELOD,,3
GI 150KV PERAK,Ya,4
GI 150KV PETROKIMIA,,4
GI 150KV PIER,Ya,4
GI 150KV PLTU GRESIK,,2
GI 150KV PROBOLINGGO,,4
GI 150KV PUGER,,7
GI 150KV PURWOSARI,,5
GI 150KV REJOSO,,4
GI 150KV RUNGKUT,Ya,6
GI 150KV SAMBIKEREP,Ya,3
GI 150KV SAMPANG,Ya,8
GI 150KV SANUR,,3
GI 150KV SEDATI,,8
GI 150KV SEGOROMADU,,3
GI 150KV SEKARPUTIH,Ya,4
GI 150KV SEMEN TUBAN,,4
GI 150KV SENGKALING,,9
GI 150KV SIDOARJO,,7
GI 150KV SITUBONDO,Ya,3
GI 150KV SUKOLILO,Ya,7
GI 150KV SUMENEP,,11
GI 150KV SURABAYA BARAT,Ya,2
GI 150KV SURABAYA SELATAN,,7
GI 150KV SURYAZIGZAG,Ya,4
GI 150KV SUTAMI,Ya,6
GI 150KV TANGGUL,Ya,6
GI 150KV TANJUNG AWAR-AWAR,,2
GI 150KV TUBAN,Ya,3
GI 150KV WILMAR,,3
GI 150KV WLINGI,Ya,7
GI 30KV DOLOPO,,8
GI 30KV GIRINGAN,,10
GI 30KV GOLANG,,9
GI 30KV NGEBEL,,10
GI 70KV AJINOMOTO,,6
GI 70KV BANARAN,,4
GI 70KV BANGUN,,7
GI 70KV BARATA,,8
GI 70KV BLIMBING,,11
GI 70KV BLITAR BARU,,9
GI 70KV BUDURAN,,7
GI 70KV CARUBAN,,7
GI 70KV DOLOPO,,6
GI 70KV DRIYOREJO,,4
GI 70KV GAMPINGAN,,11
GI 70KV GUDANGGARAM,,5
GI 70KV KARANGKATES,,11
GI 70KV KEBONAGUNG,,9
GI 70KV KERTOSONO,,5
GI 70KV MAGETAN,,9
GI 70KV MANISREJO,,7
GI 70KV MANYAR,,6
GI 70KV MASPION,,7
GI 70KV MASPIONSBM,,7
GI 70KV MENDALAN,,11
GI 70KV MIWON,,5
GI 70KV MRANGGEN,,8
GI 70KV NGANJUK,Ya,6
GI 70KV PARE,,5
GI 70KV PLOSO,,6
GI 70KV PLTA TULUNGAGUNG,,6
GI 70KV POLEHAN,,10
GI 70KV PONOROGO,,5
GI 70KV SEGOROMADU,,7
GI 70KV SEKARPUTIH,,5
GI 70KV SELOREJO,,11
GI 70KV SEMENGRESIK,,8
GI 70KV SENGGURUH,,10
GI 70KV SENGKALING,,10
GI 70KV SIMAN,,12
GI 70KV TARIK,,6
GI 70KV TJIWIKIMIA,,6
GI 70KV TRENGGALEK,,6
GI 70KV TULUNGAGUNG,,5
GI 70KV TUREN,,10
GI 70KV WLINGI,,8
GIS 150KV BANDARA NGURAHRAI,,3
GIS 150KV BANGIL,Ya,5
GIS 150KV BUDURAN,,6
GIS 150KV CELUKAN BAWANG,,2
GIS 150KV DARMOGRANDE,Ya,3
GIS 150KV DRIYOREJO,Ya,3
GIS 150KV GEMBONG,,6
GIS 150KV GRESIK,Ya,2
GIS 150KV GUNUNGSARI,Ya,4
GIS 150KV KARANGPILANG,Ya,3
GIS 150KV KEDINDING,,6
GIS 150KV KREMBANGAN,,5
GIS 150KV KUPANG,,5
GIS 150KV NGAGEL,,8
GIS 150KV PECATU,,4
GIS 150KV PESANGGARAN,,2
GIS 150KV PLTU PACITAN,,1
GIS 150KV SAWAHAN,Ya,4
GIS 150KV SIMPANG,,9
GIS 150KV TANAH LOT,,
GIS 150KV TANDES,Ya,3
GIS 150KV UJUNG,Ya,5
GIS 150KV UNDAAN,,5
GIS 150KV WARU,Ya,5
GIS 150KV WONOKROMO,,8
GISTET 500KV GRESIK,Ya,1
GISTET 500KV PAITON,Ya,1
GITET 500KV GRATI,Ya,1
GITET 500KV KEDIRI,Ya,1
GITET 500KV KRIAN,Ya,1
GITET 500KV NGIMBANG,Ya,1
